SL	TL	ST	TT
ell	eng	Κολυμπάει τώρα στη θάλασσα, ενώ οι φίλοι του κάθονται στην παραλία και τον παρακολουθούν χαμογελώντας.	He's swimming in the sea now, while his friends sit on the beach and watch him smiling.
ell	eng	Μείνε μαζί μας απόψε για φαγητό και κουβέντα, κι αύριο θα μπορέσεις να βρεις ξενοδοχείο κοντά.	Stay with us tonight for dinner and a chat, and tomorrow you’ll be able to find a hotel nearby.
ell	eng	Μοιράζεται ένα φωτεινό δωμάτιο με την αδελφή της, το οποίο είναι γεμάτο παιχνίδια και αφίσες στον τοίχο.	She shares a bright room with her sister, which is full of toys and posters on the walls.
ell	eng	Μου έπεσαν τα μαλλιά από την έκπληξη όταν μου είπαν πως η συνάντηση ακυρώθηκε τελευταία στιγμή.	My hair fell out from surprise when they told me that the meeting was canceled at the last minute.
ell	eng	Μούσκεψε μια μεγάλη πετσέτα για να καθαρίσει τα χέρια της μετά από τη βαριά δουλειά στον κήπο.	She wetted a large towel to clean her hands after the hard work in the garden.
ell	eng	Μπορούμε να πάμε εκεί με το μετρό, αν βιαστούμε λίγο και προλάβουμε το τελευταίο δρομολόγιο της ημέρας.	We can get there by underground if we hurry a little and catch the last train of the day.
ell	eng	Μπορώ να σε βοηθήσω να φτιάξεις τις βαλίτσες σου πριν φύγουμε για το αεροδρόμιο και την πτήση μας;	Can I help you pack your suitcases before we leave for the airport and catch our flight?
ell	eng	Το αγόρι τσαπίζει στον κήπο της γιαγιάς του, ενώ εκείνη του λέει ιστορίες για τη ζωή της στο χωριό.	The boy is hoeing in his grandmother’s garden while she tells him stories about her life in the village.
ell	eng	Το κορίτσι είναι τόσο όμορφο και χαριτωμένο που τραβάει την προσοχή όλων όσοι την βλέπουν να περνάει.	The girl is so beautiful and charming that she grabs the attention of everyone who sees her passing by.
ell	eng	Τα καταστήματα έμειναν κλειστά λόγω της απεργίας, που προκάλεσε αναστάτωση στην πόλη και στην καθημερινότητα των ανθρώπων.	The stores remained closed due to the strike, which caused disruption in the city and people’s daily lives.
ell	eng	Τα λεφτά αλλάζουν τους ανθρώπους, αλλά υπάρχουν ακόμα μερικοί που κρατούν τις αρχές και τις αξίες τους ζωντανές.	Money changes people, but there are still some who keep their principles and values alive.
ell	eng	Τάφηκε σ' αυτό το παλιό κοιμητήριο, το οποίο είναι γεμάτο ιστορικούς τάφους και βρίσκεται κοντά στην εκκλησία.	He was buried in this old graveyard, which is full of historic graves and is located near the church.
ell	eng	Το μεγάλο ψάρι τρώει το μικρό, όπως λέει και η παροιμία, και αυτός είναι ο νόμος της φύσης.	The big fish eat the small ones, as the saying goes, and that’s the law of nature.
ell	eng	Χάρηκα που σε γνώρισα σήμερα, και ελπίζω να τα ξαναπούμε σύντομα για να μιλήσουμε περισσότερο.	Nice to meet you today, and I hope we meet again soon to talk more.
ell	eng	Αγαπάει τα ζώα τόσο πολύ, που φροντίζει κάθε αδέσποτο που βρίσκει στον δρόμο, παρά τις δυσκολίες του.	He loves animals so much that he takes care of every stray he finds on the street, despite his struggles.
ell	eng	Αγαπάει τη βροχή και πάντα λέει πως του φέρνει ηρεμία όταν ακούει τον ήχο της στα παράθυρα.	He loves the rain and always says that it brings him peace when he hears it on the windows.
ell	eng	Αγαπάει την κηπουρική γιατί της θυμίζει τα καλοκαίρια που περνούσε μικρή στο σπίτι των παππούδων της στο χωριό.	She loves gardening because it reminds her of the summers she spent as a child at her grandparents’ house in the village.
ell	eng	Αγκάλιασε τον Τομ πολύ σφιχτά, προσπαθώντας να τον παρηγορήσει μετά από την δύσκολη ημέρα που πέρασε.	She hugged Tom very tightly, trying to comfort him after the difficult day he had.
ell	eng	Αγοράζω έπιπλα από τα ΙΚΕΑ κάθε φορά που μετακομίζω σε νέο σπίτι, γιατί είναι πρακτικά και οικονομικά.	I buy furniture from IKEA every time I move to a new house because it’s practical and affordable.
ell	eng	Αγόρασα στον Τομ ένα αυτοκινητάκι για τα γενέθλιά του, γιατί ξέρω ότι λατρεύει να παίζει με τέτοια παιχνίδια.	I bought Tom a toy car for his birthday because I know he loves playing with such toys.
ell	eng	Αγόρασε καινούρια γαντάκια από το εμπορικό κέντρο, γιατί τα παλιά της είχαν σκιστεί και ήταν άχρηστα.	She bought new little gloves from the mall because her old ones were torn and useless.
ell	eng	Αγόρασε ένα καπέλο με φαρδύ γείσο από το κατάστημα, για να προστατεύεται από τον ήλιο στις διακοπές.	He bought a hat with a wide brim from the store to protect himself from the sun on vacation.
ell	eng	Αγόρασε φρέσκο κοτοπουλάκι από τη λαϊκή αγορά για να ετοιμάσει το κυριακάτικο οικογενειακό τραπέζι.	She bought fresh chicken from the farmers' market to prepare the family Sunday meal.
ell	eng	Αγωνιζόμασταν για την επιβίωσή μας σε συνθήκες που ήταν εξαιρετικά δύσκολες και γεμάτες αβεβαιότητα.	We were struggling to survive under conditions that were extremely challenging and full of uncertainty.
ell	eng	Ακολουθήστε με στο στενό δρομάκι που οδηγεί στο μαγαζάκι, όπου θα βρούμε τα καλύτερα προϊόντα.	Follow me to the narrow alley that leads to the little shop where we’ll find the best products.
ell	eng	Ακολουθώ διαταγές γιατί πιστεύω ότι η πειθαρχία είναι σημαντική για να υπάρχει τάξη και συνεργασία.	I follow orders because I believe that discipline is essential for order and collaboration.
ell	eng	Ακόμα δε μου 'χεις πει ποια είσαι και γιατί εμφανίστηκες ξαφνικά σε αυτό το μέρος που δεν σε γνωρίζει κανείς.	You still haven't told me who you are and why you suddenly appeared in this place where no one knows you.
ell	eng	Αν δε στηρίξουμε τον Τομ, που βρίσκεται σε μια τόσο δύσκολη κατάσταση, κανείς άλλος δε θα το κάνει για εμάς.	If we don't stand up for Tom, who is in such a difficult situation, nobody else will do it for us.
ell	eng	Αν έσβηνε ο ήλιος μια μέρα ξαφνικά, όλα τα ζωντανά πλάσματα στον πλανήτη θα πέθαιναν από το κρύο.	If the sun were to suddenly go out one day, all living things on the planet would die from the cold.
ell	eng	Αν έχεις κάτι να πεις, μη διστάσεις να το εκφράσεις, γιατί η γνώμη σου έχει αξία για όλους εδώ.	If you have something to say, don’t hesitate to express it, because your opinion matters to everyone here.
ell	eng	Αν ήμουν πλούσια, θα ταξίδευα παντού και θα ανακάλυπτα νέα μέρη που πάντα ονειρευόμουν να δω από κοντά.	If I were rich, I would travel everywhere and discover new places that I always dreamed of seeing up close.
ell	eng	Αν ήταν να σβήσει ο ήλιος, τότε όλα τα ζωντανά πλάσματα του κόσμου θα πέθαιναν σε ελάχιστο χρόνο.	If the sun were to go out, then all living creatures in the world would die in no time.
ell	eng	Αν κάποιος δεν περάσει τις εξετάσεις αυτές, θα αναγκαστεί να πέσει στην αμέσως χαμηλότερη εκπαιδευτική βαθμίδα.	If someone doesn't pass these exams, they will be forced to drop to the immediately lower educational level.
ell	eng	Ανοίγουν την πόρτα του σπιτιού προσεκτικά, για να μην ξυπνήσουν το μωράκι που κοιμάται στο σαλόνι.	They open the house door carefully so as not to wake the little baby sleeping in the living room.
ell	eng	Ανοίγω ένα μεγάλο κουτί γεμάτο με δώρα για τα παιδιά, τα οποία ανυπομονούν να τα δουν όλα με χαρά.	I'm opening a large box full of gifts for the children, who are eagerly waiting to see them all with joy.
ell	eng	Αν οι εκλογές αλλάζαν κάτι ουσιαστικό στον κόσμο, πιθανότατα θα ήταν παράνομες από εκείνους που έχουν την εξουσία.	If voting changed anything significant in the world, it would probably be made illegal by those in power.
ell	eng	Άνοιξα ένα μπουκαλάκι κόκκινο κρασί και το μοιράστηκα με τους φίλους μου για να γιορτάσουμε αυτή την ξεχωριστή στιγμή.	I opened a small bottle of red wine and shared it with my friends to celebrate this special moment.
ell	eng	Άνοιξα την παλιά ξύλινη πόρτα, που τρίζει κάθε φορά, για να δω ποιος χτύπησε και περίμενε απ' έξω.	I opened the old wooden door, which creaks every time, to see who knocked and was waiting outside.
ell	eng	Άνοιξε πυρ αμέσως μόλις αντιλήφθηκε τον κίνδυνο που ερχόταν προς το μέρος τους στο πεδίο της μάχης.	Open fire immediately as he realized the danger approaching them on the battlefield.
ell	eng	Άνοιξε τα μάτια σου και κοίταξε προσεκτικά όλα όσα βρίσκονται γύρω σου, γιατί κάθε λεπτομέρεια μετράει.	Open your eyes and carefully observe everything around you, because every detail matters.
ell	eng	Άνοιξε το βιβλίο σου στη σελίδα εννιά και διάβασε δυνατά το πρώτο κεφάλαιο για να το ακούσουν όλοι.	Open your book on page nine and read the first chapter aloud for everyone to hear.
ell	eng	Άνοιξε το κουτάκι που κρατούσε στα χέρια της και βρήκε μέσα ένα δαχτυλίδι με μια μικρή πετρούλα.	She opened the small box she was holding in her hands and found a ring with a tiny stone inside.
ell	eng	Άνοιξε το μπουκαλάκι με το αρωματικό λάδι για να γεμίσει το δωμάτιο με την υπέροχη μυρωδιά του.	Open the small bottle of scented oil to fill the room with its wonderful fragrance.
ell	eng	Άνοιξε το παράθυρο και άφησε τον καθαρό αέρα να μπει μέσα στο δωμάτιο, που είχε γεμίσει ζέστη.	Open the window and let the fresh air come into the room, which had become quite warm.
ell	eng	Αν πάει ο Θωμάς σε αυτό το πάρτι, τότε δεν έχω άλλη επιλογή παρά να πάω κι εγώ μαζί του.	If Thomas goes to this party, then I have no other choice but to go along with him.
ell	eng	Αν πάρεις έναν υπνάκο τώρα, θα δεις όμορφα όνειρα, αλλά αν διαβάσεις, θα πραγματοποιήσεις τα όνειρά σου.	If you take a nap now, you will have sweet dreams, but if you study, you will make your dreams come true.
ell	eng	Αν πήρες διαζύγιο ή αποφάσισες να μην παντρευτείς ποτέ, σημαίνει ότι πήρες την απόφαση που σου ταιριάζει καλύτερα.	If you got a divorce or decided never to get married, it means you made the choice that suits you best.
ell	eng	Αν σας χρειάζεται κάτι, παρακαλώ ενημερώστε με αμέσως χωρίς να διστάσετε, γιατί θέλω να σας βοηθήσω.	If you need anything, please let me know immediately without hesitation, because I want to help you.
ell	eng	Ανταλλάξαμε θερμούς χαιρετισμούς στην είσοδο του κτιρίου πριν αρχίσει η επίσημη συνάντησή μας.	We exchanged warm greetings at the entrance of the building before our official meeting began.
ell	eng	Άντε γαμήσου και μην ξανασχοληθείς μαζί μου, γιατί δεν έχω καμία διάθεση να σε ακούω πια.	Kiss my ass and don’t bother me again because I have no interest in listening to you anymore.
ell	eng	Άντε γεια, θα τα πούμε ξανά σύντομα όταν βρούμε λίγο χρόνο να καθίσουμε και να μιλήσουμε με την ησυχία μας.	Bye! We'll talk again soon when we find some time to sit and chat in peace.
ell	eng	Αντέδρασα ενστικτωδώς σε αυτό που έγινε και δεν είχα χρόνο να σκεφτώ τι θα έπρεπε να κάνω σωστά.	I reacted instinctively to what happened and didn’t have time to think about what I should do properly.
ell	eng	Άντε, βιάσου λίγο, γιατί σε λίγη ώρα θα φύγουμε από το σπίτι και πρέπει να είσαι έτοιμος.	Come on, hurry up, because we’ll be leaving the house in a little while and you need to be ready.
