chapter_name,sentence_number,token_number,word,lemma,part-of-speech,syntax,cue,scope,event,pred,error_type,error_category
circle01,167_1,0,The,The,DT,(S(NP*,_,The,_,The,_,SC_not_MC
circle01,167_1,1,mysterious,mysterious,JJ,*,_,mysterious,_,mysterious,_,SC_not_MC
circle01,167_1,2,one,one,NN,*),_,one,_,one,_,SC_not_MC
circle01,167_1,3,could,could,MD,(VP*,_,_,_,could,FP,SC_not_MC
circle01,167_1,4,understand,understand,VB,(VP*,_,_,_,understand,FP,SC_not_MC
circle01,167_1,5,English,English,NNP,(NP*),_,_,_,_,_,SC_not_MC
circle01,167_1,6,",",",",",",*,_,_,_,_,_,SC_not_MC
circle01,167_1,7,even,even,RB,(SBAR*,_,_,_,_,_,SC_not_MC
circle01,167_1,8,if,if,IN,*,_,_,_,_,_,SC_not_MC
circle01,167_1,9,he,he,PRP,(S(NP*),_,_,_,he,FP,SC_not_MC
circle01,167_1,10,could,could,MD,(VP*,_,could,_,could,_,SC_not_MC
circle01,167_1,11,not,not,RB,*,not,_,_,_,_,SC_not_MC
circle01,167_1,12,print,print,VBP,(VP*,_,print,_,print,_,SC_not_MC
circle01,167_1,13,it,it,PRP,(NP*))))))),_,it,_,it,_,SC_not_MC
circle01,167_1,14,.,.,.,*),_,_,_,_,_,SC_not_MC
circle01,140_1,0,I,I,PRP,(S(NP*),_,_,_,_,_,Wrong_subj
circle01,140_1,1,can,can,MD,(VP*,_,_,_,_,_,Wrong_subj
circle01,140_1,2,imagine,imagine,VB,(VP*,_,_,_,_,_,Wrong_subj
circle01,140_1,3,that,that,IN,(SBAR*,_,_,_,_,_,Wrong_subj
circle01,140_1,4,the,the,DT,(S(NP*,_,_,_,_,_,Wrong_subj
circle01,140_1,5,word,word,NN,*),_,_,_,_,_,Wrong_subj
circle01,140_1,6,was,be,VBD,(VP*,_,_,_,_,_,Wrong_subj
circle01,140_1,7,taken,take,VBN,(VP*,_,_,_,_,_,Wrong_subj
circle01,140_1,8,out,out,IN,(PP*,_,_,_,_,_,Wrong_subj
circle01,140_1,9,of,of,IN,(PP*,_,_,_,_,_,Wrong_subj
circle01,140_1,10,a,a,DT,(NP(NP*,_,_,_,_,_,Wrong_subj
circle01,140_1,11,dictionary,dictionary,NNP,*),_,_,_,_,_,Wrong_subj
circle01,140_1,12,",",",",",",*,_,_,_,_,_,Wrong_subj
circle01,140_1,13,which,which,WDT,(SBAR(WHNP*),_,which,_,which,_,Wrong_subj
circle01,140_1,14,would,would,MD,(S(VP*,_,would,_,would,_,Wrong_subj
circle01,140_1,15,give,give,VB,(VP*,_,give,give,give,_,Wrong_subj
circle01,140_1,16,the,the,DT,(NP(NP*,_,_,_,the,FP,Wrong_subj
circle01,140_1,17,noun,noun,NN,*),_,_,_,noun,FP,Wrong_subj
circle01,140_1,18,but,but,CC,*,_,_,_,_,_,Wrong_subj
circle01,140_1,19,not,not,RB,*,not,_,_,_,_,Wrong_subj
circle01,140_1,20,the,the,DT,(NP*,_,the,_,the,_,Wrong_subj
circle01,140_1,21,plural,plural,JJ,*))))))))))))))),_,plural,_,plural,_,Wrong_subj
circle01,140_1,22,.,.,.,*),_,_,_,_,_,Wrong_subj
circle01,294_1,0,I,I,PRP,(S(NP*),_,_,_,_,_,Prep_to_C
circle01,294_1,1,suppose,suppose,VBP,(VP*,_,_,_,_,_,Prep_to_C
circle01,294_1,2,when,when,WRB,(SBAR(WHADVP*),_,_,_,_,_,Prep_to_C
circle01,294_1,3,you,you,PRP,(S(NP*),_,_,_,you,FP,Prep_to_C
circle01,294_1,4,doctored,doctor,VBD,(VP*,_,_,_,doctored,FP,Prep_to_C
circle01,294_1,5,you,you,PRP,(SBAR(S(NP*),_,_,_,you,FP,Prep_to_C
circle01,294_1,6,found,find,VBD,(VP*,_,_,_,found,FP,Prep_to_C
circle01,294_1,7,yourself,yourself,PRP,(NP*),_,_,_,yourself,FP,Prep_to_C
circle01,294_1,8,studying,study,VBG,(S(VP*,_,_,_,studying,FP,Prep_to_C
circle01,294_1,9,cases,case,NNS,(NP(NP*),_,_,_,cases,FP,Prep_to_C
circle01,294_1,10,without,without,IN,(PP*,without,_,_,_,_,Prep_to_C
circle01,294_1,11,thought,thought,NN,(NP*)),_,thought,_,thought,_,Prep_to_C
circle01,294_1,12,of,of,IN,(PP*,_,of,_,of,_,Prep_to_C
circle01,294_1,13,a,a,DT,(NP*,_,a,_,a,_,Prep_to_C
circle01,294_1,14,fee,fee,NN,*)))))))))))),_,fee,_,fee,_,Prep_to_C
circle01,294_1,15,?,?,.,*,_,_,_,_,_,Prep_to_C
circle01,294_1,16,'','','',*),_,_,_,_,_,Prep_to_C
wisteria02,164_2,0,``,``,``,(S*,_,_,_,_,_,Repeat_OOS
wisteria02,164_2,1,I,I,PRP,(NP*),_,_,_,I,FP,Repeat_OOS
wisteria02,164_2,2,did,do,VBD,(VP*,_,_,_,did,FP,Repeat_OOS
wisteria02,164_2,3,n't,n't,RB,*,_,_,_,_,_,Repeat_OOS
wisteria02,164_2,4,say,say,VB,(VP*,_,_,_,_,_,Repeat_OOS
wisteria02,164_2,5,so,so,RB,(SBAR(S(ADVP*),_,_,_,_,_,Repeat_OOS
